ඞcollection_urlඞname_and_countryඞcollection_nameඞplaceඞmain_categoryඞsecondary_categoryඞyear
0ඞhttps://photoawards.com/winner/zoom.php?eid=8-1719663704-24ඞCheraine Collette, NetherlandsඞLimitlessඞ1st PlaceඞAdvertisingඞ Automotiveඞ2024
1ඞhttps://photoawards.com/winner/zoom.php?eid=8-1719961251-24ඞBlair Bunting, United StatesඞPhotoshoot at the Edge of Spaceඞ2nd PlaceඞAdvertisingඞ Automotiveඞ2024
2ඞhttps://photoawards.com/winner/zoom.php?eid=8-1686644560-24ඞMike Dodd, United KingdomඞThe future is now.ඞ3rd PlaceඞAdvertisingඞ Automotiveඞ2024
3ඞhttps://photoawards.com/winner/zoom.php?eid=8-1708595669-24ඞJodie Mann, United KingdomඞLaylaඞ1st PlaceඞAdvertisingඞ Beautyඞ2024
4ඞhttps://photoawards.com/winner/zoom.php?eid=8-1719984971-24ඞRodolphe Debyser, FranceඞClean Girlඞ2nd PlaceඞAdvertisingඞ Beautyඞ2024
5ඞhttps://photoawards.com/winner/zoom.php?eid=8-1707488085-24ඞVesper Chen, United StatesඞShades of Humanityඞ3rd PlaceඞAdvertisingඞ Beautyඞ2024
6ඞhttps://photoawards.com/winner/zoom.php?eid=8-1686645120-24ඞInti St. Clair, United StatesඞDelta Home & Away - Local Business Portraitsඞ1st PlaceඞAdvertisingඞ Brands campaignඞ2024
7ඞhttps://photoawards.com/winner/zoom.php?eid=8-1719866977-24ඞAurelien Chauvaud, FranceඞWhen Life meets rugby - Mastercardඞ2nd PlaceඞAdvertisingඞ Brands campaignඞ2024
8ඞhttps://photoawards.com/winner/zoom.php?eid=8-1721961916-24ඞSamuel Hicks, United KingdomඞSonyඞ3rd PlaceඞAdvertisingඞ Brands campaignඞ2024
9ඞhttps://photoawards.com/winner/zoom.php?eid=8-1717115823-24ඞAndrei Duman, United StatesඞOrganogenesis: Building Blocks of Lifeඞ1st PlaceඞAdvertisingඞ Conceptualඞ2024
10ඞhttps://photoawards.com/winner/zoom.php?eid=8-1719984602-24ඞKremer Johnson, United StatesඞPersonal Spaceඞ2nd PlaceඞAdvertisingඞ Conceptualඞ2024
11ඞhttps://photoawards.com/winner/zoom.php?eid=8-1710222182-24ඞSarah Choo Jing, SingaporeඞGestures of Affection ඞ3rd PlaceඞAdvertisingඞ Conceptualඞ2024
12ඞhttps://photoawards.com/winner/zoom.php?eid=8-1686645581-24ඞJeffrey Vanhoutte, BelgiumඞNatanඞ1st PlaceඞAdvertisingඞ Fashionඞ2024
13ඞhttps://photoawards.com/winner/zoom.php?eid=8-1717101063-24ඞGenevieve Charbonneau, CanadaඞMiami Heatඞ2nd PlaceඞAdvertisingඞ Fashionඞ2024
14ඞhttps://photoawards.com/winner/zoom.php?eid=8-1722596668-24ඞYumiko Komatsu, JapanඞTimeless Elegance in Silver and Blackඞ3rd PlaceඞAdvertisingඞ Fashionඞ2024
15ඞhttps://photoawards.com/winner/zoom.php?eid=8-1707488035-24ඞHeather Brown, United KingdomඞRipe and Oozy Brieඞ1st PlaceඞAdvertisingඞ Food & Beverageඞ2024
16ඞhttps://photoawards.com/winner/zoom.php?eid=8-1717581379-24ඞKarolina Turbaczewska-Jędrzejczak, PolandඞOut of love for blueඞ2nd PlaceඞAdvertisingඞ Food & Beverageඞ2024
17ඞhttps://photoawards.com/winner/zoom.php?eid=8-1722595832-24ඞHannah Caldwell, AustraliaඞChocolateඞ3rd PlaceඞAdvertisingඞ Food & Beverageඞ2024
18ඞhttps://photoawards.com/winner/zoom.php?eid=8-1686645027-24ඞMarta Syrko , NetherlandsඞMarta Syrkoඞ1st PlaceඞAdvertisingඞ Musicඞ2024
19ඞhttps://photoawards.com/winner/zoom.php?eid=8-1719564333-24ඞEric CANTO, FranceඞALIVEඞ2nd PlaceඞAdvertisingඞ Musicඞ2024
20ඞhttps://photoawards.com/winner/zoom.php?eid=8-1708431827-24ඞMichael Konovalenko, IsraelඞCover for single - Killer ( Alyona Poli)ඞ3rd PlaceඞAdvertisingඞ Musicඞ2024
21ඞhttps://photoawards.com/winner/zoom.php?eid=8-1686645036-24ඞJulia Fullerton-Batten, United KingdomඞHe Gets Usඞ1st PlaceඞAdvertisingඞ Otherඞ2024
22ඞhttps://photoawards.com/winner/zoom.php?eid=8-1719801551-24ඞRenata Aldana, AustraliaඞIlluminating with Precision: The mechanic of a Porsche ඞ2nd PlaceඞAdvertisingඞ Otherඞ2024
